Main food description,Category,Price,Maximum_amount,Calories (kcal),Protein (g),Carbohydrate (g),"Fiber, total dietary (g)",Total Fat (g),"Fatty acids, total saturated (g)","Fatty acids, total monounsaturated (g)","Fatty acids, total polyunsaturated (g)",Cholesterol (mg),"Vitamin A, RAE (mcg_RAE)",Thiamin (mg),Riboflavin (mg),Niacin (mg),Vitamin B-6 (mg),"Folate, total (mcg)","Choline, total (mg)",Vitamin B-12 (mcg),Vitamin C (mg),Vitamin D (D2 + D3) (mcg),Vitamin E (alpha-tocopherol) (mg),Vitamin K (phylloquinone) (mcg),Calcium (mg),Phosphorus (mg),Magnesium (mg),"Iron
(mg)","Zinc
(mg)",Copper (mg),Selenium (mcg),Potassium (mg),Sodium (mg)
"Milk, whole",Dairy,0.11,2.4,61,3.27,4.63,0,3.2,1.86,0.688,0.108,12,32,0.056,0.138,0.105,0.061,0,17.8,0.54,0,1.1,0.05,0.3,123,101,12,0,0.42,0.001,1.9,150,38
"Milk, reduced fat (2%)",Dairy,0.11,2.4,50,3.36,4.9,0,1.9,1.11,0.4,0.058,8,83,0.059,0.137,0.112,0.061,2,18.2,0.55,0.2,1.1,0.03,0.2,126,103,12,0,0.43,0.001,1.8,159,39
"Milk, low fat (1%)",Dairy,0.11,2.4,43,3.38,5.18,0,0.95,0.568,0.21,0.032,5,58,0.057,0.14,0.113,0.06,2,17.4,0.61,0,1.1,0.02,0.1,126,103,12,0,0.43,0.001,2.1,159,39
"Milk, fat free (skim)",Dairy,0.11,2.4,34,3.43,4.92,0,0.08,0.049,0.017,0.006,3,64,0.056,0.131,0.118,0.058,2,18.2,0.58,0,1.1,0,0,132,107,12,0,0.45,0.002,2,167,41
"Milk, lactose free, low fat (1%)",Dairy,0.2,2.4,43,3.38,5.18,0,0.95,0.568,0.21,0.032,5,58,0.057,0.14,0.113,0.06,2,17.4,0.61,0,1.1,0.02,0.1,126,103,12,0,0.43,0.001,2.1,159,39
"Milk, lactose free, fat free (skim)",Dairy,0.2,2.4,34,3.43,4.92,0,0.08,0.049,0.017,0.006,3,64,0.056,0.131,0.118,0.058,2,18.2,0.58,0,1.1,0,0,132,107,12,0,0.45,0.002,2,167,41
"Milk, lactose free, reduced fat (2%)",Dairy,0.2,2.4,50,3.36,4.9,0,1.9,1.11,0.4,0.058,8,83,0.059,0.137,0.112,0.061,2,18.2,0.55,0.2,1.1,0.03,0.2,126,103,12,0,0.43,0.001,1.8,159,39
"Milk, lactose free, whole",Dairy,0.2,2.4,61,3.27,4.63,0,3.2,1.86,0.688,0.108,12,32,0.056,0.138,0.105,0.061,0,17.8,0.54,0,1.1,0.05,0.3,123,101,12,0,0.42,0.001,1.9,150,38
"Buttermilk, fat free (skim)",Dairy,0.09,2.4,40,3.31,4.79,0,1.07,0.66,0.254,0.033,4,14,0.034,0.154,0.058,0.034,5,17.7,0.22,1,0,0.05,0.1,116,89,11,0.05,0.42,0.011,2,151,148
"Buttermilk, whole",Dairy,0.09,2.4,62,3.21,4.88,0,3.31,1.899,0.827,0.198,11,47,0.047,0.172,0.09,0.036,5,14.6,0.46,0,1.3,0.07,0.3,115,85,10,0.03,0.38,0.025,3.7,135,105
Soy milk,Others,0.22,2.4,53,3.41,5.22,0,2.05,0.301,0.399,1.104,0,56,0.06,0.081,0.227,0.053,19,22.7,0.37,0,0.7,0.15,2.9,97,66,21,0.52,0.3,0.104,1.8,152,33
"Soy milk, light",Others,0.22,2.4,38,3.55,1.29,0,2.12,0.314,0.416,1.15,0,58,0.063,0.084,0.236,0.055,20,23.6,0.39,0,0.7,0.16,3,101,69,22,0.54,0.31,0.108,1.9,158,34
"Soy milk, nonfat",Others,0.22,2.4,38,3.55,1.29,0,2.12,0.314,0.416,1.15,0,58,0.063,0.084,0.236,0.055,20,23.6,0.39,0,0.7,0.16,3,101,69,22,0.54,0.31,0.108,1.9,158,34
"Soy milk, chocolate",Others,0.22,2.4,64,3.35,8.32,0.1,2.03,0.315,0.399,1.068,0,54,0.059,0.08,0.225,0.051,19,21.9,0.36,0,0.6,0.15,2.8,94,66,22,0.55,0.31,0.112,1.8,151,32
"Soy milk, light, chocolate",Others,0.22,2.4,39,3.6,1.46,0.1,2.15,0.337,0.428,1.148,0,58,0.063,0.084,0.242,0.055,20,23.6,0.39,0,0.7,0.16,3,101,71,23,0.58,0.33,0.119,1.9,162,34
"Almond milk, sweetened",Others,0.31,2.4,30,0.53,4.31,0,1.18,0.1,0.7,0.265,0,39,0,0.032,0.071,0,0,3,0.33,0,0.9,3.19,0,166,29,7,0.28,0.16,0.02,0,30,58
"Almond milk, sweetened, chocolate",Others,0.31,2.4,43,0.57,7.44,0.1,1.2,0.121,0.69,0.257,0,38,0,0.033,0.075,0,0,2.9,0.32,0,0.8,3.08,0,161,30,8,0.31,0.18,0.031,0.1,33,56
"Almond milk, unsweetened",Others,0.31,2.4,15,0.55,0.34,0,1.22,0.104,0.729,0.276,0,41,0,0.033,0.074,0,0,3.1,0.34,0,0.9,3.32,0,173,30,7,0.29,0.17,0.021,0,31,60
"Almond milk, unsweetened, chocolate",Others,0.31,2.4,16,0.61,0.51,0.1,1.26,0.128,0.74,0.276,0,41,0,0.034,0.08,0,0,3.1,0.34,0,0.9,3.31,0,173,32,8,0.33,0.19,0.032,0,35,60
Rice milk,Others,0.26,2.4,47,0.28,9.17,0.3,0.97,0,0.625,0.313,0,63,0.027,0.142,0.39,0.039,2,2.1,0.63,0,1,0.47,0.2,118,56,11,0.2,0.13,0.037,2.2,27,39
Coconut milk,Others,0.21,1.2,31,0.21,2.92,0,2.08,2.083,0,0,0,63,0,0,0,0,0,0,0.63,0,1,0,0,188,0,0,0.3,0,0,0,19,19
"Yogurt, whole milk, plain",Dairy,0.38,2.4,61,3.47,4.66,0,3.25,2.096,0.893,0.092,13,27,0.029,0.142,0.075,0.032,7,15.2,0.37,0.5,1.2,0.06,0.2,121,95,12,0.05,0.59,0.009,2.2,155,46
"Yogurt, low fat milk, plain",Dairy,0.4,2.4,63,5.25,7.04,0,1.55,1,0.426,0.044,6,14,0.044,0.214,0.114,0.049,11,15.2,0.56,0.8,1.2,0.03,0.2,183,144,17,0.08,0.89,0.013,3.3,234,70
"Yogurt, nonfat milk, plain",Dairy,0.41,2.4,56,5.73,7.68,0,0.18,0.116,0.049,0.005,2,2,0.048,0.234,0.124,0.053,12,15.2,0.61,0.9,1.2,0,0.2,199,157,19,0.09,0.97,0.015,3.6,255,77
"Yogurt, Greek, whole milk, plain",Dairy,0.55,2.4,97,9,3.98,0,5,2.395,2.136,0.469,13,2,0.023,0.278,0.208,0.063,5,15.1,0.75,0,0,0.01,0,100,135,11,0,0.52,0.017,9.7,141,35
"Yogurt, Greek, low fat milk, plain",Dairy,0.55,2.4,73,9.95,3.94,0,1.92,1.23,0.486,0.076,10,90,0.044,0.233,0.197,0.055,12,15.2,0.52,0.8,0,0.04,0.2,115,137,11,0.04,0.6,0.021,12.4,141,34
"Yogurt, Greek, nonfat milk, plain",Dairy,0.56,2.4,59,10.3,3.64,0,0.37,0.108,0.043,0.011,5,1,0.022,0.281,0.211,0.064,7,15.1,0.7,0,0,0.01,0,111,136,11,0.07,0.53,0.017,9.9,141,36
